r2train_per_fold,[0]
r2test_per_fold,[0.9150442461146767]
r2testadj_per_fold,[0.885059862390445]
rmse_per_fold,[2086.5593850784667]
mae_per_fold,[1642.1657353295411]
maep_per_fold,[2.521502146889857]
mape_per_fold,[2.47936957086788]
smape_per_fold,[2.432417905769988]
test_name,finalTest
name,['none']
model_name,['GradientBoostingRegressor']
decomposition,ewt
nmodes,2
algorithm,gbr
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.915
std_r2test,0.0
avg_r2testadj,0.8851
std_r2testadj,0.0
avg_rmse,2086.5594
std_rmse,0.0
avg_mae,1642.1657
std_mae,0.0
avg_maep,2.5215
std_maep,0.0
avg_mape,2.4794
std_mape,0.0
avg_smape,2.4324
std_smape,0.0
model_params,"{'alpha': 0.9, 'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'ls', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'presort': 'deprecated', 'random_state': 4242, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}"
duration,1.07
