r2train_per_fold,[0]
r2test_per_fold,[0.9467800560301776]
r2testadj_per_fold,[0.9279965463937696]
rmse_per_fold,[1651.4733012857826]
mae_per_fold,[1212.3892806143747]
maep_per_fold,[1.8615917432486948]
mape_per_fold,[1.8513389546202483]
smape_per_fold,[1.8212881902373943]
test_name,finalTest
name,['none']
model_name,['GradientBoostingRegressor']
decomposition,none
nmodes,6
algorithm,gbr
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.9468
std_r2test,0.0
avg_r2testadj,0.928
std_r2testadj,0.0
avg_rmse,1651.4733
std_rmse,0.0
avg_mae,1212.3893
std_mae,0.0
avg_maep,1.8616
std_maep,0.0
avg_mape,1.8513
std_mape,0.0
avg_smape,1.8213
std_smape,0.0
model_params,"{'alpha': 0.9, 'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'ls', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'presort': 'deprecated', 'random_state': 4242, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}"
