r2train_per_fold,[0]
r2test_per_fold,[0.8213955278237499]
r2testadj_per_fold,[0.7583586552909558]
rmse_per_fold,[3025.3840652952053]
mae_per_fold,[2764.482022258983]
maep_per_fold,[4.244789185523717]
mape_per_fold,[4.381159543168828]
smape_per_fold,[4.267142548486522]
test_name,finalTest
name,['none']
model_name,['GradientBoostingRegressor']
decomposition,eemd
nmodes,6
algorithm,gbr
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.8214
std_r2test,0.0
avg_r2testadj,0.7584
std_r2testadj,0.0
avg_rmse,3025.3841
std_rmse,0.0
avg_mae,2764.482
std_mae,0.0
avg_maep,4.2448
std_maep,0.0
avg_mape,4.3812
std_mape,0.0
avg_smape,4.2671
std_smape,0.0
model_params,"{'alpha': 0.9, 'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'ls', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'presort': 'deprecated', 'random_state': 4242, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}"
duration,1.87
