r2train_per_fold,[0]
r2test_per_fold,[0.9495373046411593]
r2testadj_per_fold,[0.9317269415733331]
rmse_per_fold,[1608.124144024328]
mae_per_fold,[1160.039557469726]
maep_per_fold,[1.7812101249634782]
mape_per_fold,[1.7821116172957439]
smape_per_fold,[1.7537473014679852]
test_name,finalTest
name,['none']
model_name,['GradientBoostingRegressor']
decomposition,ceemdan
nmodes,2
algorithm,gbr
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.9495
std_r2test,0.0
avg_r2testadj,0.9317
std_r2testadj,0.0
avg_rmse,1608.1241
std_rmse,0.0
avg_mae,1160.0396
std_mae,0.0
avg_maep,1.7812
std_maep,0.0
avg_mape,1.7821
std_mape,0.0
avg_smape,1.7537
std_smape,0.0
model_params,"{'alpha': 0.9, 'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'ls', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'presort': 'deprecated', 'random_state': 4242, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}"
duration,632.79
