r2train_per_fold,[0]
r2test_per_fold,[0.9366684969394197]
r2testadj_per_fold,[0.9143162017415678]
rmse_per_fold,[1801.5414058139752]
mae_per_fold,[1438.5913200585837]
maep_per_fold,[2.208919004936431]
mape_per_fold,[2.221378314587816]
smape_per_fold,[2.1845495166224556]
test_name,finalTest
name,['none']
model_name,['GradientBoostingRegressor']
decomposition,ewt
nmodes,7
algorithm,gbr
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.9367
std_r2test,0.0
avg_r2testadj,0.9143
std_r2testadj,0.0
avg_rmse,1801.5414
std_rmse,0.0
avg_mae,1438.5913
std_mae,0.0
avg_maep,2.2089
std_maep,0.0
avg_mape,2.2214
std_mape,0.0
avg_smape,2.1845
std_smape,0.0
model_params,"{'alpha': 0.9, 'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'ls', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'presort': 'deprecated', 'random_state': 4242, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}"
duration,1.69
