r2train_per_fold,[0]
r2test_per_fold,[0.8244599620006414]
r2testadj_per_fold,[0.762504654471456]
rmse_per_fold,[2999.317521098207]
mae_per_fold,[2764.227474833179]
maep_per_fold,[4.244398334669359]
mape_per_fold,[4.343677133821982]
smape_per_fold,[4.233791193826102]
test_name,finalTest
name,['none']
model_name,['GradientBoostingRegressor']
decomposition,ceemdan
nmodes,8
algorithm,gbr
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.8245
std_r2test,0.0
avg_r2testadj,0.7625
std_r2testadj,0.0
avg_rmse,2999.3175
std_rmse,0.0
avg_mae,2764.2275
std_mae,0.0
avg_maep,4.2444
std_maep,0.0
avg_mape,4.3437
std_mape,0.0
avg_smape,4.2338
std_smape,0.0
model_params,"{'alpha': 0.9, 'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'ls', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'presort': 'deprecated', 'random_state': 4242, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}"
duration,1.47
