r2train_per_fold,[0]
r2test_per_fold,[0.8203113091280363]
r2testadj_per_fold,[0.7568917711732256]
rmse_per_fold,[3034.5529704654373]
mae_per_fold,[2783.2248962590843]
maep_per_fold,[4.273568373892702]
mape_per_fold,[4.39709897894691]
smape_per_fold,[4.2836052234173865]
test_name,finalTest
name,['none']
model_name,['GradientBoostingRegressor']
decomposition,eemd
nmodes,7
algorithm,gbr
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.8203
std_r2test,0.0
avg_r2testadj,0.7569
std_r2testadj,0.0
avg_rmse,3034.553
std_rmse,0.0
avg_mae,2783.2249
std_mae,0.0
avg_maep,4.2736
std_maep,0.0
avg_mape,4.3971
std_mape,0.0
avg_smape,4.2836
std_smape,0.0
model_params,"{'alpha': 0.9, 'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'ls', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'presort': 'deprecated', 'random_state': 4242, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}"
duration,1.88
