r2train_per_fold,[0]
r2test_per_fold,[0.9718160785301984]
r2testadj_per_fold,[0.9618688121290919]
rmse_per_fold,[1201.8079168028055]
mae_per_fold,[898.1390008563167]
maep_per_fold,[1.3790687323105386]
mape_per_fold,[1.4295478006356874]
smape_per_fold,[1.4475355382858628]
test_name,finalTest
name,['none']
model_name,['XGBRegressor']
decomposition,eemd
nmodes,5
algorithm,xgboost
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.9718
std_r2test,0.0
avg_r2testadj,0.9619
std_r2testadj,0.0
avg_rmse,1201.8079
std_rmse,0.0
avg_mae,898.139
std_mae,0.0
avg_maep,1.3791
std_maep,0.0
avg_mape,1.4295
std_mape,0.0
avg_smape,1.4475
std_smape,0.0
model_params,"{'objective': 'reg:squarederror', 'base_score': 0.5, 'booster': None, 'colsample_bylevel': 1, 'colsample_bynode': 1, 'colsample_bytree': 1, 'gamma': 0, 'gpu_id': -1, 'importance_type': 'gain', 'interaction_constraints': None, 'learning_rate': 0.300000012, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 1, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 100, 'n_jobs': 0, 'num_parallel_tree': 1, 'random_state': 4242, 'reg_alpha': 0, 'reg_lambda': 1, 'scale_pos_weight': 1, 'subsample': 1, 'tree_method': None, 'validate_parameters': False, 'verbosity': None}"
duration,1.15
