r2train_per_fold,[0]
r2test_per_fold,[-0.3596108722607445]
r2testadj_per_fold,[-0.8394735330586542]
rmse_per_fold,[8347.216251534064]
mae_per_fold,[8287.872736015686]
maep_per_fold,[12.725809854277461]
mape_per_fold,[12.95614043523894]
smape_per_fold,[12.14041126100058]
test_name,finalTest
name,['none']
model_name,['XGBRegressor']
decomposition,ceemdan
nmodes,6
algorithm,xgboost
avg_r2train,0.0
std_r2train,0.0
avg_r2test,-0.3596
std_r2test,0.0
avg_r2testadj,-0.8395
std_r2testadj,0.0
avg_rmse,8347.2163
std_rmse,0.0
avg_mae,8287.8727
std_mae,0.0
avg_maep,12.7258
std_maep,0.0
avg_mape,12.9561
std_mape,0.0
avg_smape,12.1404
std_smape,0.0
model_params,"{'objective': 'reg:squarederror', 'base_score': 0.5, 'booster': None, 'colsample_bylevel': 1, 'colsample_bynode': 1, 'colsample_bytree': 1, 'gamma': 0, 'gpu_id': -1, 'importance_type': 'gain', 'interaction_constraints': None, 'learning_rate': 0.300000012, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 1, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 100, 'n_jobs': 0, 'num_parallel_tree': 1, 'random_state': 4242, 'reg_alpha': 0, 'reg_lambda': 1, 'scale_pos_weight': 1, 'subsample': 1, 'tree_method': None, 'validate_parameters': False, 'verbosity': None}"
duration,1.13
