r2train_per_fold,[0]
r2test_per_fold,[0.834109214961153]
r2testadj_per_fold,[0.7755595261239129]
rmse_per_fold,[2915.7177566573637]
mae_per_fold,[2673.63647284255]
maep_per_fold,[4.1052982419723]
mape_per_fold,[4.204654299209867]
smape_per_fold,[4.100557081021004]
test_name,finalTest
name,['none']
model_name,['GradientBoostingRegressor']
decomposition,ceemdan
nmodes,9
algorithm,gbr
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.8341
std_r2test,0.0
avg_r2testadj,0.7756
std_r2testadj,0.0
avg_rmse,2915.7178
std_rmse,0.0
avg_mae,2673.6365
std_mae,0.0
avg_maep,4.1053
std_maep,0.0
avg_mape,4.2047
std_mape,0.0
avg_smape,4.1006
std_smape,0.0
model_params,"{'alpha': 0.9, 'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'ls', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'presort': 'deprecated', 'random_state': 4242, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}"
duration,1.57
