r2train_per_fold,[0]
r2test_per_fold,[0.9570847264314557]
r2testadj_per_fold,[0.9419381592896166]
rmse_per_fold,[1482.997070710209]
mae_per_fold,[1183.7425990803715]
maep_per_fold,[1.8176055197907053]
mape_per_fold,[1.8903298878421817]
smape_per_fold,[1.8628745989624735]
test_name,finalTest
name,['none']
model_name,['GradientBoostingRegressor']
decomposition,ceemdan
nmodes,4
algorithm,gbr
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.9571
std_r2test,0.0
avg_r2testadj,0.9419
std_r2testadj,0.0
avg_rmse,1482.9971
std_rmse,0.0
avg_mae,1183.7426
std_mae,0.0
avg_maep,1.8176
std_maep,0.0
avg_mape,1.8903
std_mape,0.0
avg_smape,1.8629
std_smape,0.0
model_params,"{'alpha': 0.9, 'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'ls', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'presort': 'deprecated', 'random_state': 4242, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}"
duration,1.05
