r2train_per_fold,[0]
r2test_per_fold,[-0.1598251310094858]
r2testadj_per_fold,[-0.5691751772481279]
rmse_per_fold,[7709.578021899157]
mae_per_fold,[7180.772656521629]
maep_per_fold,[11.02588690057754]
mape_per_fold,[11.048275414437143]
smape_per_fold,[10.856991372686931]
test_name,finalTest
name,['none']
model_name,['GradientBoostingRegressor']
decomposition,eemd
nmodes,1
algorithm,gbr
avg_r2train,0.0
std_r2train,0.0
avg_r2test,-0.1598
std_r2test,0.0
avg_r2testadj,-0.5692
std_r2testadj,0.0
avg_rmse,7709.578
std_rmse,0.0
avg_mae,7180.7727
std_mae,0.0
avg_maep,11.0259
std_maep,0.0
avg_mape,11.0483
std_mape,0.0
avg_smape,10.857
std_smape,0.0
model_params,"{'alpha': 0.9, 'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'ls', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'presort': 'deprecated', 'random_state': 4242, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}"
duration,1.17
