r2train_per_fold,[0]
r2test_per_fold,[0.9349745549314192]
r2testadj_per_fold,[0.9120243978483907]
rmse_per_fold,[1825.4755363337508]
mae_per_fold,[1404.633568707531]
maep_per_fold,[2.1567777739430505]
mape_per_fold,[2.186260464637796]
smape_per_fold,[2.1480364883436733]
test_name,finalTest
name,['none']
model_name,['GradientBoostingRegressor']
decomposition,emd
nmodes,7
algorithm,gbr
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.935
std_r2test,0.0
avg_r2testadj,0.912
std_r2testadj,0.0
avg_rmse,1825.4755
std_rmse,0.0
avg_mae,1404.6336
std_mae,0.0
avg_maep,2.1568
std_maep,0.0
avg_mape,2.1863
std_mape,0.0
avg_smape,2.148
std_smape,0.0
model_params,"{'alpha': 0.9, 'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'ls', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'presort': 'deprecated', 'random_state': 4242, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}"
duration,4.15
