r2train_per_fold,[0]
r2test_per_fold,[0.7417826913338574]
r2testadj_per_fold,[0.65064717062816]
rmse_per_fold,[3637.701219449744]
mae_per_fold,[3135.1863860887483]
maep_per_fold,[4.813995952629119]
mape_per_fold,[4.69517685316352]
smape_per_fold,[4.556265475315971]
test_name,finalTest
name,['none']
model_name,['GradientBoostingRegressor']
decomposition,eemd
nmodes,4
algorithm,gbr
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.7418
std_r2test,0.0
avg_r2testadj,0.6506
std_r2testadj,0.0
avg_rmse,3637.7012
std_rmse,0.0
avg_mae,3135.1864
std_mae,0.0
avg_maep,4.814
std_maep,0.0
avg_mape,4.6952
std_mape,0.0
avg_smape,4.5563
std_smape,0.0
model_params,"{'alpha': 0.9, 'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'ls', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'presort': 'deprecated', 'random_state': 4242, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}"
duration,1.86
