r2train_per_fold,[0]
r2test_per_fold,[0.9692148318364256]
r2testadj_per_fold,[0.9583494783669289]
rmse_per_fold,[1256.0447588463837]
mae_per_fold,[814.1737727977388]
maep_per_fold,[1.250142340620047]
mape_per_fold,[1.2298895042861837]
smape_per_fold,[1.2147966339675296]
test_name,finalTest
name,['none']
model_name,['GradientBoostingRegressor']
decomposition,ewt
nmodes,3
algorithm,gbr
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.9692
std_r2test,0.0
avg_r2testadj,0.9583
std_r2testadj,0.0
avg_rmse,1256.0448
std_rmse,0.0
avg_mae,814.1738
std_mae,0.0
avg_maep,1.2501
std_maep,0.0
avg_mape,1.2299
std_mape,0.0
avg_smape,1.2148
std_smape,0.0
model_params,"{'alpha': 0.9, 'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'ls', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'presort': 'deprecated', 'random_state': 4242, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}"
duration,1.06
