r2train_per_fold,[0]
r2test_per_fold,[-0.3302181168574443]
r2testadj_per_fold,[-0.7997068639836011]
rmse_per_fold,[8256.496092903919]
mae_per_fold,[7131.654520285723]
maep_per_fold,[10.950467298703304]
mape_per_fold,[10.557085414003375]
smape_per_fold,[10.002844614092195]
test_name,finalTest
name,['none']
model_name,['GradientBoostingRegressor']
decomposition,eemd
nmodes,2
algorithm,gbr
avg_r2train,0.0
std_r2train,0.0
avg_r2test,-0.3302
std_r2test,0.0
avg_r2testadj,-0.7997
std_r2testadj,0.0
avg_rmse,8256.4961
std_rmse,0.0
avg_mae,7131.6545
std_mae,0.0
avg_maep,10.9505
std_maep,0.0
avg_mape,10.5571
std_mape,0.0
avg_smape,10.0028
std_smape,0.0
model_params,"{'alpha': 0.9, 'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'ls', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'presort': 'deprecated', 'random_state': 4242, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}"
duration,1.86
