r2train_per_fold,[0]
r2test_per_fold,[0.2757509939961206]
r2testadj_per_fold,[0.02013369775945717]
rmse_per_fold,[6092.2582457781]
mae_per_fold,[5434.722528867998]
maep_per_fold,[8.344873010970085]
mape_per_fold,[8.069938465974525]
smape_per_fold,[7.694808982160225]
test_name,finalTest
name,['none']
model_name,['GradientBoostingRegressor']
decomposition,eemd
nmodes,3
algorithm,gbr
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.2758
std_r2test,0.0
avg_r2testadj,0.0201
std_r2testadj,0.0
avg_rmse,6092.2582
std_rmse,0.0
avg_mae,5434.7225
std_mae,0.0
avg_maep,8.3449
std_maep,0.0
avg_mape,8.0699
std_mape,0.0
avg_smape,7.6948
std_smape,0.0
model_params,"{'alpha': 0.9, 'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'ls', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'presort': 'deprecated', 'random_state': 4242, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}"
duration,1.93
