r2train_per_fold,[0]
r2test_per_fold,[0.9446707663653493]
r2testadj_per_fold,[0.9251428015531197]
rmse_per_fold,[1683.8820907586248]
mae_per_fold,[1257.3727426963897]
maep_per_fold,[1.9306626620811216]
mape_per_fold,[1.9413834831727836]
smape_per_fold,[1.9096142952962742]
test_name,finalTest
name,['none']
model_name,['GradientBoostingRegressor']
decomposition,emd
nmodes,5
algorithm,gbr
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.9447
std_r2test,0.0
avg_r2testadj,0.9251
std_r2testadj,0.0
avg_rmse,1683.8821
std_rmse,0.0
avg_mae,1257.3727
std_mae,0.0
avg_maep,1.9307
std_maep,0.0
avg_mape,1.9414
std_mape,0.0
avg_smape,1.9096
std_smape,0.0
model_params,"{'alpha': 0.9, 'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'ls', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'presort': 'deprecated', 'random_state': 4242, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}"
duration,4.0
