r2train_per_fold,[0]
r2test_per_fold,[0.9790285315041867]
r2testadj_per_fold,[0.9716268367409584]
rmse_per_fold,[1036.689671505955]
mae_per_fold,[847.5570779753234]
maep_per_fold,[1.3014015246747348]
mape_per_fold,[1.3216804794191273]
smape_per_fold,[1.3227850829294376]
test_name,finalTest
name,['none']
model_name,['GradientBoostingRegressor']
decomposition,none
nmodes,6
algorithm,gbr
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.979
std_r2test,0.0
avg_r2testadj,0.9716
std_r2testadj,0.0
avg_rmse,1036.6897
std_rmse,0.0
avg_mae,847.5571
std_mae,0.0
avg_maep,1.3014
std_maep,0.0
avg_mape,1.3217
std_mape,0.0
avg_smape,1.3228
std_smape,0.0
model_params,"{'alpha': 0.9, 'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'ls', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'presort': 'deprecated', 'random_state': 4242, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}"
